  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.69033311            0.00000000        5261.81426762       -45644.50292982       -40382.68866220 
  5.0000e-15           98.86195589            0.00000000        5218.09120088       -45553.57920812       -40335.48800724 
  1.0000e-14           97.51930100            0.00000000        5147.22374102       -45404.53121405       -40257.30747302 
  1.5000e-14           95.68585634            0.00000000        5050.45161703       -45199.83240823       -40149.38079120 
  2.0000e-14           93.39180274            0.00000000        4929.36782140       -44942.89605451       -40013.52823311 
  2.5000e-14           90.68696508            0.00000000        4786.60218952       -44638.20014089       -39851.59795136 
  3.0000e-14           87.62381871            0.00000000        4624.92445409       -44291.23229558       -39666.30784149 
  3.5000e-14           84.26155640            0.00000000        4447.45890440       -43908.58570244       -39461.12679804 
  4.0000e-14           80.68160588            0.00000000        4258.50342469       -43498.02491832       -39239.52149362 
  4.5000e-14           76.96178784            0.00000000        4062.16551457       -43068.13760813       -39005.97209356 
  5.0000e-14           73.18658684            0.00000000        3862.90440410       -42628.64756545       -38765.74316135 
  5.5000e-14           69.46320477            0.00000000        3666.37837904       -42189.92948921       -38523.55111017 
  6.0000e-14           65.89345670            0.00000000        3477.96140101       -41762.76787722       -38284.80647622 
  6.5000e-14           62.57998702            0.00000000        3303.07120365       -41358.07398453       -38055.00278087 
  7.0000e-14           59.62687131            0.00000000        3147.20106147       -40986.15655181       -37838.95549033 
  7.5000e-14           57.12319233            0.00000000        3015.05290464       -40656.20490970       -37641.15200507 
  8.0000e-14           55.14799786            0.00000000        2910.79900010       -40376.18374819       -37465.38474809 
  8.5000e-14           53.74973278            0.00000000        2836.99634644       -40151.96410249       -37314.96775605 
  9.0000e-14           52.96043992            0.00000000        2795.33621454       -39987.48153457       -37192.14532003 
  9.5000e-14           52.80474731            0.00000000        2787.11851094       -39884.16474278       -37097.04623183 
  1.0000e-13           53.12865779            0.00000000        2804.21502110       -39841.26830187       -37037.05328077 
  1.0500e-13           54.03483947            0.00000000        2852.04473079       -39857.08427255       -37005.03954177 
